X,CH1,CH2,
Second,Volt,Volt,
-8.1919998e-02,-4.60000e+00,0.00000e+00,
-8.1900001e-02,-4.60000e+00,0.00000e+00,
-8.1879996e-02,-4.60000e+00,0.00000e+00,
-8.1859998e-02,-4.60000e+00,0.00000e+00,
-8.1840001e-02,-4.60000e+00,0.00000e+00,
-8.1819996e-02,-4.60000e+00,0.00000e+00,
-8.1799999e-02,-4.60000e+00,0.00000e+00,
-8.1780002e-02,-4.60000e+00,0.00000e+00,
-8.1759997e-02,-4.60000e+00,0.00000e+00,
-8.1739999e-02,-4.60000e+00,0.00000e+00,
-8.1719995e-02,-4.60000e+00,0.00000e+00,
-8.1699997e-02,-4.60000e+00,0.00000e+00,
-8.1680000e-02,-4.60000e+00,0.00000e+00,
-8.1659995e-02,-4.60000e+00,0.00000e+00,
-8.1639998e-02,-4.60000e+00,0.00000e+00,
-8.1620000e-02,-4.60000e+00,0.00000e+00,
-8.1599995e-02,-4.60000e+00,0.00000e+00,
-8.1579998e-02,-4.60000e+00,0.00000e+00,
-8.1560001e-02,-4.60000e+00,0.00000e+00,
-8.1539996e-02,-4.60000e+00,0.00000e+00,
-8.1519999e-02,-4.60000e+00,0.00000e+00,
-8.1500001e-02,-4.60000e+00,-8.00000e-03,
-8.1479996e-02,-4.60000e+00,-8.00000e-03,
-8.1459999e-02,-4.60000e+00,0.00000e+00,
-8.1439994e-02,-4.60000e+00,-8.00000e-03,
-8.1419997e-02,-4.60000e+00,0.00000e+00,
-8.1400000e-02,-4.60000e+00,-8.00000e-03,
-8.1379995e-02,-4.60000e+00,-8.00000e-03,
-8.1359997e-02,-4.60000e+00,-8.00000e-03,
-8.1340000e-02,-4.60000e+00,-8.00000e-03,
-8.1319995e-02,-4.60000e+00,0.00000e+00,
-8.1299998e-02,-4.60000e+00,-8.00000e-03,
-8.1280001e-02,-4.60000e+00,0.00000e+00,
-8.1259996e-02,-4.60000e+00,0.00000e+00,
-8.1239998e-02,-4.60000e+00,-8.00000e-03,
-8.1220001e-02,-4.60000e+00,0.00000e+00,
-8.1199996e-02,-4.60000e+00,0.00000e+00,
-8.1179999e-02,-4.60000e+00,0.00000e+00,
-8.1160001e-02,-4.60000e+00,0.00000e+00,
-8.1139997e-02,-4.60000e+00,8.00000e-03,
-8.1119999e-02,-4.60000e+00,1.60000e-02,
-8.1099994e-02,-4.60000e+00,8.00000e-03,
-8.1079997e-02,-4.60000e+00,8.00000e-03,
-8.1060000e-02,-4.60000e+00,8.00000e-03,
-8.1039995e-02,-4.60000e+00,8.00000e-03,
-8.1019998e-02,-4.60000e+00,8.00000e-03,
-8.1000000e-02,-4.60000e+00,8.00000e-03,
-8.0979995e-02,-4.60000e+00,8.00000e-03,
-8.0959998e-02,-4.60000e+00,8.00000e-03,
-8.0940001e-02,-4.60000e+00,1.60000e-02,
-8.0919996e-02,-4.60000e+00,0.00000e+00,
-8.0899999e-02,-4.60000e+00,8.00000e-03,
-8.0880001e-02,-4.60000e+00,0.00000e+00,
-8.0859996e-02,-4.60000e+00,0.00000e+00,
-8.0839999e-02,-4.60000e+00,0.00000e+00,
-8.0820002e-02,-4.60000e+00,0.00000e+00,
-8.0799997e-02,-4.60000e+00,0.00000e+00,
-8.0779999e-02,-4.60000e+00,-8.00000e-03,
-8.0759995e-02,-4.60000e+00,-8.00000e-03,
-8.0739997e-02,-4.60000e+00,-8.00000e-03,
-8.0720000e-02,-4.60000e+00,-8.00000e-03,
-8.0699995e-02,-4.60000e+00,-8.00000e-03,
-8.0679998e-02,-4.60000e+00,-8.00000e-03,
-8.0660000e-02,-4.60000e+00,0.00000e+00,
-8.0639996e-02,-4.60000e+00,-8.00000e-03,
-8.0619998e-02,-4.60000e+00,-8.00000e-03,
-8.0600001e-02,-4.60000e+00,-8.00000e-03,
-8.0579996e-02,-4.60000e+00,0.00000e+00,
-8.0559999e-02,-4.60000e+00,-8.00000e-03,
-8.0540001e-02,-4.60000e+00,-8.00000e-03,
-8.0519997e-02,-4.60000e+00,-8.00000e-03,
-8.0499999e-02,-4.60000e+00,0.00000e+00,
-8.0479994e-02,-4.60000e+00,0.00000e+00,
-8.0459997e-02,-4.60000e+00,0.00000e+00,
-8.0440000e-02,-4.60000e+00,0.00000e+00,
-8.0419995e-02,-4.60000e+00,0.00000e+00,
-8.0399998e-02,-4.60000e+00,0.00000e+00,
-8.0380000e-02,-4.60000e+00,0.00000e+00,
-8.0359995e-02,-4.60000e+00,0.00000e+00,
-8.0339998e-02,-4.60000e+00,0.00000e+00,
-8.0320001e-02,-4.60000e+00,0.00000e+00,
-8.0299996e-02,-4.60000e+00,0.00000e+00,
-8.0279998e-02,-4.60000e+00,0.00000e+00,
-8.0260001e-02,-4.60000e+00,0.00000e+00,
-8.0239996e-02,-4.60000e+00,-8.00000e-03,
-8.0219999e-02,-4.60000e+00,-8.00000e-03,
-8.0200002e-02,-4.60000e+00,-8.00000e-03,
-8.0179997e-02,-4.60000e+00,-8.00000e-03,
-8.0159999e-02,-4.60000e+00,0.00000e+00,
-8.0139995e-02,-4.60000e+00,0.00000e+00,
-8.0119997e-02,-4.60000e+00,1.60000e-02,
-8.0100000e-02,-4.60000e+00,1.60000e-02,
-8.0079995e-02,-4.60000e+00,1.60000e-02,
-8.0059998e-02,-4.60000e+00,1.60000e-02,
-8.0040000e-02,-4.60000e+00,1.60000e-02,
-8.0019996e-02,-4.60000e+00,1.60000e-02,
-7.9999998e-02,-4.60000e+00,1.60000e-02,
-7.9980001e-02,-4.60000e+00,1.60000e-02,
-7.9959996e-02,-4.60000e+00,2.40000e-02,
-7.9939999e-02,-4.60000e+00,2.40000e-02,
-7.9920001e-02,-4.60000e+00,2.40000e-02,
-7.9899997e-02,-4.60000e+00,2.40000e-02,
-7.9879999e-02,-4.60000e+00,1.60000e-02,
-7.9859994e-02,-4.60000e+00,1.60000e-02,
-7.9839997e-02,-4.60000e+00,1.60000e-02,
-7.9820000e-02,-4.60000e+00,2.40000e-02,
-7.9799995e-02,-4.60000e+00,2.40000e-02,
-7.9779997e-02,-4.60000e+00,2.40000e-02,
-7.9760000e-02,-4.60000e+00,1.60000e-02,
-7.9739995e-02,-4.60000e+00,1.60000e-02,
-7.9719998e-02,-4.60000e+00,1.60000e-02,
-7.9700001e-02,-4.60000e+00,1.60000e-02,
-7.9679996e-02,-4.60000e+00,1.60000e-02,
-7.9659998e-02,-4.60000e+00,1.60000e-02,
-7.9640001e-02,-4.60000e+00,8.00000e-03,
-7.9619996e-02,-4.60000e+00,8.00000e-03,
-7.9599999e-02,-4.60000e+00,8.00000e-03,
-7.9580002e-02,-4.60000e+00,0.00000e+00,
-7.9559997e-02,-4.60000e+00,0.00000e+00,
-7.9539999e-02,-4.60000e+00,0.00000e+00,
-7.9519995e-02,-4.60000e+00,-8.00000e-03,
-7.9499997e-02,-4.60000e+00,-8.00000e-03,
-7.9480000e-02,-4.60000e+00,0.00000e+00,
-7.9459995e-02,-4.60000e+00,0.00000e+00,
-7.9439998e-02,-4.60000e+00,0.00000e+00,
-7.9420000e-02,-4.60000e+00,8.00000e-03,
-7.9399996e-02,-4.60000e+00,8.00000e-03,
-7.9379998e-02,-4.60000e+00,1.60000e-02,
-7.9360001e-02,-4.60000e+00,1.60000e-02,
-7.9339996e-02,-4.60000e+00,2.40000e-02,
-7.9319999e-02,-4.60000e+00,1.60000e-02,
-7.9300001e-02,-4.60000e+00,2.40000e-02,
-7.9279996e-02,-4.60000e+00,2.40000e-02,
-7.9259999e-02,-4.60000e+00,2.40000e-02,
-7.9239994e-02,-4.60000e+00,8.00000e-03,
-7.9219997e-02,-4.60000e+00,-6.40000e-02,
-7.9200000e-02,-4.60000e+00,-4.80000e-02,
-7.9179995e-02,-4.60000e+00,4.80000e-02,
-7.9159997e-02,-4.60000e+00,8.00000e-03,
-7.9140000e-02,-4.60000e+00,-2.96000e-01,
-7.9119995e-02,-4.60000e+00,-3.44000e-01,
-7.9099998e-02,-4.60000e+00,2.72000e-01,
-7.9080001e-02,-4.60000e+00,6.40000e-02,
-7.9059996e-02,-4.60000e+00,-1.04000e-01,
-7.9039998e-02,-4.60000e+00,6.40000e-02,
-7.9020001e-02,-4.60000e+00,4.00000e-02,
-7.8999996e-02,-4.60000e+00,-8.00000e-03,
-7.8979999e-02,-4.60000e+00,3.20000e-02,
-7.8960001e-02,-4.60000e+00,3.20000e-02,
-7.8939997e-02,-4.60000e+00,0.00000e+00,
-7.8919999e-02,-4.60000e+00,1.60000e-02,
-7.8899994e-02,-4.60000e+00,2.40000e-02,
-7.8879997e-02,-4.60000e+00,2.40000e-02,
-7.8860000e-02,-4.60000e+00,0.00000e+00,
-7.8839995e-02,-4.60000e+00,2.40000e-02,
-7.8819998e-02,-4.60000e+00,3.20000e-02,
-7.8800000e-02,-4.60000e+00,1.60000e-02,
-7.8779995e-02,-4.60000e+00,1.60000e-02,
-7.8759998e-02,-4.60000e+00,8.00000e-03,
-7.8740001e-02,-4.60000e+00,-1.68000e-01,
-7.8719996e-02,-4.60000e+00,-1.84000e-01,
-7.8699999e-02,-4.60000e+00,1.52000e-01,
-7.8680001e-02,-4.60000e+00,3.20000e-02,
-7.8659996e-02,-4.60000e+00,-4.80000e-02,
-7.8639999e-02,-4.60000e+00,4.00000e-02,
-7.8620002e-02,-4.60000e+00,3.20000e-02,
-7.8599997e-02,-4.60000e+00,8.00000e-03,
-7.8580000e-02,-4.60000e+00,2.40000e-02,
-7.8559995e-02,-4.60000e+00,2.40000e-02,
-7.8539997e-02,-4.60000e+00,-8.00000e-03,
-7.8520000e-02,-4.60000e+00,-1.76000e-01,
-7.8499995e-02,-4.60000e+00,-3.28000e-01,
-7.8479998e-02,-4.60000e+00,1.12000e-01,
-7.8460000e-02,-4.60000e+00,1.12000e-01,
-7.8439996e-02,-4.60000e+00,-7.20000e-02,
-7.8419998e-02,-4.60000e+00,2.40000e-02,
-7.8400001e-02,-4.60000e+00,4.80000e-02,
-7.8379996e-02,-4.60000e+00,-8.00000e-03,
-7.8359999e-02,-4.60000e+00,1.60000e-02,
-7.8340001e-02,-4.60000e+00,2.40000e-02,
-7.8319997e-02,-4.60000e+00,-8.00000e-03,
-7.8299999e-02,-4.60000e+00,-1.44000e-01,
-7.8279994e-02,-4.60000e+00,-4.24000e-01,
-7.8259997e-02,-4.60000e+00,-3.44000e-01,
-7.8240000e-02,-4.60000e+00,3.28000e-01,
-7.8219995e-02,-4.60000e+00,0.00000e+00,
-7.8199998e-02,-4.60000e+00,-1.20000e-01,
-7.8180000e-02,-4.60000e+00,8.00000e-02,
-7.8159995e-02,-4.60000e+00,3.20000e-02,
-7.8139998e-02,-4.60000e+00,-1.60000e-02,
-7.8120001e-02,-4.60000e+00,3.20000e-02,
-7.8099996e-02,-4.60000e+00,3.20000e-02,
-7.8079998e-02,-4.60000e+00,8.00000e-03,
-7.8060001e-02,-4.60000e+00,1.60000e-02,
-7.8039996e-02,-4.60000e+00,8.00000e-03,
-7.8019999e-02,-4.60000e+00,8.00000e-03,
-7.8000002e-02,-4.60000e+00,1.60000e-02,
-7.7979997e-02,-4.60000e+00,8.00000e-03,
-7.7959999e-02,-4.60000e+00,0.00000e+00,
-7.7939995e-02,-4.60000e+00,8.00000e-03,
-7.7919997e-02,-4.60000e+00,2.40000e-02,
-7.7900000e-02,-4.60000e+00,2.40000e-02,
-7.7879995e-02,-4.60000e+00,1.60000e-02,
-7.7859998e-02,-4.60000e+00,2.40000e-02,
-7.7840000e-02,-4.60000e+00,0.00000e+00,
