time	V(vped)
0.000000000000000e+000	3.614939e-002
2.677636363856983e-006	3.544271e-002
8.032909091570950e-006	3.408717e-002
1.874345454699888e-005	3.157289e-002
4.016454545785475e-005	2.718671e-002
8.016454545783924e-005	2.048775e-002
1.201645454578237e-004	1.532246e-002
1.601645454578082e-004	1.152115e-002
2.001645454577927e-004	8.707464e-003
2.343750000000644e-004	6.919466e-003
2.348293809713575e-004	7.023113e-003
2.357381429139438e-004	7.528006e-003
2.375556667990608e-004	8.794380e-003
2.408042063893889e-004	1.188152e-002
2.473012855700452e-004	2.115718e-002
2.602954439313576e-004	4.918585e-002
2.774580843528107e-004	1.037154e-001
3.024004990121454e-004	2.144255e-001
3.342192384073184e-004	3.994113e-001
3.742192384073029e-004	6.855354e-001
4.142192384072874e-004	1.018059e+000
4.542192384072719e-004	1.387884e+000
4.942192384072563e-004	1.785418e+000
5.342192384072408e-004	2.203544e+000
5.742192384072253e-004	2.636982e+000
6.142192384072098e-004	3.081812e+000
6.942192384071788e-004	3.994756e+000
8.142192384071323e-004	5.397455e+000
8.542192384071168e-004	5.870562e+000
8.942192384071013e-004	6.344424e+000
9.342192384070858e-004	6.819041e+000
9.742192384070703e-004	7.294414e+000
1.014219238407055e-003	7.770542e+000
1.054219238407039e-003	8.247425e+000
1.094219238407024e-003	8.725064e+000
1.134219238407008e-003	9.201311e+000
1.150872126058911e-003	9.396925e+000
1.163180796679764e-003	9.535939e+000
1.176994354375960e-003	9.681307e+000
1.194167338799845e-003	9.845369e+000
1.210937500000009e-003	9.992083e+000
1.211014776453301e-003	9.989566e+000
1.211169329359885e-003	9.942331e+000
1.211208915675721e-003	9.913168e+000
1.211234870812372e-003	9.890018e+000
1.211249712831042e-003	9.880099e+000
1.211266442160575e-003	9.870502e+000
1.211299900819640e-003	9.851787e+000
1.211355218552923e-003	9.821781e+000
1.211408946432624e-003	9.792804e+000
1.211516402192026e-003	9.734452e+000
1.211677835505298e-003	9.645412e+000
1.211914061999997e-003	9.513113e+000
1.211936073781617e-003	9.505335e+000
1.211980097344856e-003	9.495087e+000
1.212068144471279e-003	9.484724e+000
1.212149753973546e-003	9.478635e+000
1.212235760789326e-003	9.472683e+000
1.212407774420887e-003	9.460586e+000
1.212751801684064e-003	9.436454e+000
1.213439856210363e-003	9.388416e+000
